method,dataset,N,pred_len,seed,MSE,MAE,model_id
anti_clustering,electricity,321,96,2050,0.14661358296871185,0.23863337934017181,gi_anti_clustering_electricity_pl96_s2050
anti_clustering,solar_AL,137,192,2021,0.23337166011333466,0.2596452832221985,gi_anti_clustering_solar_AL_pl192_s2021
anti_clustering,solar_AL,137,192,2022,0.23240475356578827,0.25926223397254944,gi_anti_clustering_solar_AL_pl192_s2022
anti_clustering,solar_AL,137,192,2023,0.23177462816238403,0.2585749924182892,gi_anti_clustering_solar_AL_pl192_s2023
anti_clustering,solar_AL,137,192,2024,0.23520152270793915,0.2611217796802521,gi_anti_clustering_solar_AL_pl192_s2024
anti_clustering,solar_AL,137,192,2025,0.2332223504781723,0.25961342453956604,gi_anti_clustering_solar_AL_pl192_s2025
anti_clustering,solar_AL,137,192,2026,0.2320975810289383,0.25816771388053894,gi_anti_clustering_solar_AL_pl192_s2026
anti_clustering,solar_AL,137,192,2027,0.23384185135364532,0.2608514726161957,gi_anti_clustering_solar_AL_pl192_s2027
anti_clustering,solar_AL,137,192,2028,0.2372957170009613,0.2619233727455139,gi_anti_clustering_solar_AL_pl192_s2028
anti_clustering,solar_AL,137,192,2029,0.2343963235616684,0.26021912693977356,gi_anti_clustering_solar_AL_pl192_s2029
anti_clustering,solar_AL,137,192,2030,0.23424090445041656,0.26012206077575684,gi_anti_clustering_solar_AL_pl192_s2030
anti_clustering,solar_AL,137,192,2031,0.23196488618850708,0.2597234845161438,gi_anti_clustering_solar_AL_pl192_s2031
anti_clustering,solar_AL,137,192,2032,0.234686478972435,0.2610279619693756,gi_anti_clustering_solar_AL_pl192_s2032
anti_clustering,solar_AL,137,192,2033,0.23582831025123596,0.2607128620147705,gi_anti_clustering_solar_AL_pl192_s2033
anti_clustering,solar_AL,137,192,2034,0.23287658393383026,0.2596471607685089,gi_anti_clustering_solar_AL_pl192_s2034
anti_clustering,solar_AL,137,192,2035,0.23495402932167053,0.2602739632129669,gi_anti_clustering_solar_AL_pl192_s2035
anti_clustering,solar_AL,137,192,2036,0.23777221143245697,0.26280221343040466,gi_anti_clustering_solar_AL_pl192_s2036
anti_clustering,solar_AL,137,192,2037,0.23397131264209747,0.2597956955432892,gi_anti_clustering_solar_AL_pl192_s2037
anti_clustering,solar_AL,137,192,2038,0.23326623439788818,0.26065611839294434,gi_anti_clustering_solar_AL_pl192_s2038
anti_clustering,solar_AL,137,192,2039,0.23773089051246643,0.26275530457496643,gi_anti_clustering_solar_AL_pl192_s2039
anti_clustering,solar_AL,137,192,2040,0.23572401702404022,0.2604902684688568,gi_anti_clustering_solar_AL_pl192_s2040
anti_clustering,solar_AL,137,192,2041,0.23406772315502167,0.25961822271347046,gi_anti_clustering_solar_AL_pl192_s2041
anti_clustering,solar_AL,137,192,2042,0.23778679966926575,0.2625855505466461,gi_anti_clustering_solar_AL_pl192_s2042
anti_clustering,solar_AL,137,192,2043,0.23475290834903717,0.25989532470703125,gi_anti_clustering_solar_AL_pl192_s2043
anti_clustering,solar_AL,137,192,2044,0.23557700216770172,0.2610737383365631,gi_anti_clustering_solar_AL_pl192_s2044
anti_clustering,solar_AL,137,192,2045,0.23456105589866638,0.26083436608314514,gi_anti_clustering_solar_AL_pl192_s2045
anti_clustering,solar_AL,137,192,2046,0.23368167877197266,0.26013436913490295,gi_anti_clustering_solar_AL_pl192_s2046
anti_clustering,solar_AL,137,192,2047,0.23523709177970886,0.2604493200778961,gi_anti_clustering_solar_AL_pl192_s2047
anti_clustering,solar_AL,137,192,2048,0.2355634868144989,0.2615166902542114,gi_anti_clustering_solar_AL_pl192_s2048
anti_clustering,solar_AL,137,192,2049,0.2374393790960312,0.261198490858078,gi_anti_clustering_solar_AL_pl192_s2049
anti_clustering,solar_AL,137,192,2050,0.23691444098949432,0.2614680528640747,gi_anti_clustering_solar_AL_pl192_s2050
anti_clustering,solar_AL,137,336,2021,0.24800245463848114,0.27266886830329895,gi_anti_clustering_solar_AL_pl336_s2021
anti_clustering,solar_AL,137,336,2022,0.24874691665172577,0.27273935079574585,gi_anti_clustering_solar_AL_pl336_s2022
anti_clustering,solar_AL,137,336,2023,0.24951182305812836,0.27289772033691406,gi_anti_clustering_solar_AL_pl336_s2023
anti_clustering,solar_AL,137,336,2024,0.2491169422864914,0.2728573977947235,gi_anti_clustering_solar_AL_pl336_s2024
anti_clustering,solar_AL,137,336,2025,0.24614763259887695,0.27153801918029785,gi_anti_clustering_solar_AL_pl336_s2025
anti_clustering,solar_AL,137,336,2026,0.24696694314479828,0.27198848128318787,gi_anti_clustering_solar_AL_pl336_s2026
anti_clustering,solar_AL,137,336,2027,0.2532905042171478,0.2756243050098419,gi_anti_clustering_solar_AL_pl336_s2027
anti_clustering,solar_AL,137,336,2028,0.25029700994491577,0.27333712577819824,gi_anti_clustering_solar_AL_pl336_s2028
anti_clustering,solar_AL,137,336,2029,0.2493695616722107,0.2733742296695709,gi_anti_clustering_solar_AL_pl336_s2029
anti_clustering,solar_AL,137,336,2030,0.2493121176958084,0.2737349569797516,gi_anti_clustering_solar_AL_pl336_s2030
anti_clustering,solar_AL,137,336,2031,0.24884745478630066,0.2723778486251831,gi_anti_clustering_solar_AL_pl336_s2031
anti_clustering,solar_AL,137,336,2032,0.248332217335701,0.27292537689208984,gi_anti_clustering_solar_AL_pl336_s2032
anti_clustering,solar_AL,137,336,2033,0.24774998426437378,0.2720492482185364,gi_anti_clustering_solar_AL_pl336_s2033
anti_clustering,solar_AL,137,336,2034,0.24714164435863495,0.271851122379303,gi_anti_clustering_solar_AL_pl336_s2034
anti_clustering,solar_AL,137,336,2035,0.24850960075855255,0.2725299596786499,gi_anti_clustering_solar_AL_pl336_s2035
anti_clustering,solar_AL,137,336,2036,0.2485509067773819,0.2722502648830414,gi_anti_clustering_solar_AL_pl336_s2036
anti_clustering,solar_AL,137,336,2037,0.24978981912136078,0.27376073598861694,gi_anti_clustering_solar_AL_pl336_s2037
anti_clustering,solar_AL,137,336,2038,0.24855704605579376,0.2731248438358307,gi_anti_clustering_solar_AL_pl336_s2038
anti_clustering,solar_AL,137,336,2039,0.24959325790405273,0.27370792627334595,gi_anti_clustering_solar_AL_pl336_s2039
anti_clustering,solar_AL,137,336,2040,0.2491295486688614,0.27296608686447144,gi_anti_clustering_solar_AL_pl336_s2040
anti_clustering,solar_AL,137,336,2041,0.24870295822620392,0.2735516428947449,gi_anti_clustering_solar_AL_pl336_s2041
anti_clustering,solar_AL,137,336,2042,0.24735482037067413,0.27240872383117676,gi_anti_clustering_solar_AL_pl336_s2042
anti_clustering,solar_AL,137,336,2043,0.24842901527881622,0.2729603350162506,gi_anti_clustering_solar_AL_pl336_s2043
anti_clustering,solar_AL,137,336,2044,0.24887260794639587,0.2726317346096039,gi_anti_clustering_solar_AL_pl336_s2044
anti_clustering,solar_AL,137,336,2045,0.24710673093795776,0.2715924382209778,gi_anti_clustering_solar_AL_pl336_s2045
anti_clustering,solar_AL,137,336,2046,0.24985894560813904,0.2737696170806885,gi_anti_clustering_solar_AL_pl336_s2046
anti_clustering,solar_AL,137,336,2047,0.24828654527664185,0.27220913767814636,gi_anti_clustering_solar_AL_pl336_s2047
anti_clustering,solar_AL,137,336,2048,0.24699924886226654,0.2719063460826874,gi_anti_clustering_solar_AL_pl336_s2048
anti_clustering,solar_AL,137,336,2049,0.24754413962364197,0.2728017270565033,gi_anti_clustering_solar_AL_pl336_s2049
anti_clustering,solar_AL,137,336,2050,0.25075817108154297,0.27372297644615173,gi_anti_clustering_solar_AL_pl336_s2050
anti_clustering,solar_AL,137,720,2021,0.24934737384319305,0.27411869168281555,gi_anti_clustering_solar_AL_pl720_s2021
anti_clustering,solar_AL,137,720,2022,0.2505645155906677,0.2745436429977417,gi_anti_clustering_solar_AL_pl720_s2022
anti_clustering,solar_AL,137,720,2023,0.2502574324607849,0.2747983932495117,gi_anti_clustering_solar_AL_pl720_s2023
anti_clustering,solar_AL,137,720,2024,0.25155219435691833,0.27538514137268066,gi_anti_clustering_solar_AL_pl720_s2024
anti_clustering,solar_AL,137,720,2025,0.2497640997171402,0.2745029628276825,gi_anti_clustering_solar_AL_pl720_s2025
anti_clustering,solar_AL,137,720,2026,0.24999237060546875,0.2745371460914612,gi_anti_clustering_solar_AL_pl720_s2026
anti_clustering,solar_AL,137,720,2027,0.2517646849155426,0.2757500112056732,gi_anti_clustering_solar_AL_pl720_s2027
anti_clustering,solar_AL,137,720,2028,0.25036993622779846,0.27456992864608765,gi_anti_clustering_solar_AL_pl720_s2028
anti_clustering,solar_AL,137,720,2029,0.25006136298179626,0.2745530903339386,gi_anti_clustering_solar_AL_pl720_s2029
anti_clustering,solar_AL,137,720,2030,0.2506367862224579,0.27491241693496704,gi_anti_clustering_solar_AL_pl720_s2030
anti_clustering,solar_AL,137,720,2031,0.2512419819831848,0.27537938952445984,gi_anti_clustering_solar_AL_pl720_s2031
anti_clustering,solar_AL,137,720,2032,0.25034841895103455,0.274174302816391,gi_anti_clustering_solar_AL_pl720_s2032
anti_clustering,solar_AL,137,720,2033,0.250029057264328,0.27444007992744446,gi_anti_clustering_solar_AL_pl720_s2033
anti_clustering,solar_AL,137,720,2034,0.25136449933052063,0.27455440163612366,gi_anti_clustering_solar_AL_pl720_s2034
anti_clustering,solar_AL,137,720,2035,0.2493228167295456,0.27445828914642334,gi_anti_clustering_solar_AL_pl720_s2035
