method,pl,seed,mse,epoch1_loss,is_anomalous
finch_like,336,2028,0.4307715892791748,0.3859597,False
finch_like,336,2029,0.4306727647781372,0.3946335,False
finch_like,336,2030,0.4315913915634155,0.3887125,False
finch_like,336,2031,0.4311998188495636,0.3964984,False
finch_like,336,2032,0.4306045174598694,0.3894875,False
finch_like,336,2033,0.4304890632629394,0.3871907,False
finch_like,336,2034,0.4314999282360077,0.3909288,False
finch_like,336,2035,0.4314394295215606,0.3945828,False
finch_like,336,2036,0.431226909160614,0.4046484,False
finch_like,336,2037,0.4308603703975677,0.4077526,False
finch_like,336,2038,0.4309031367301941,0.3918426,False
finch_like,336,2039,0.4307263195514679,0.3982382,False
finch_like,336,2040,0.4306896924972534,0.3890088,False
finch_like,336,2041,0.4310757219791412,0.3932247,False
finch_like,336,2042,0.4305511116981506,0.3891717,False
finch_like,336,2043,0.4311704337596893,0.3872401,False
finch_like,336,2044,0.4312395453453064,0.3902707,False
finch_like,336,2045,0.4310809075832367,0.3999733,False
finch_like,336,2046,0.4311822652816772,0.4070033,False
finch_like,336,2047,0.4312388896942138,0.3970118,False
finch_like,336,2048,0.4306304156780243,0.3920316,False
finch_like,336,2049,0.431210845708847,0.3970225,False
finch_like,336,2050,0.4313491582870483,0.4087123,False
finch_like,720,2021,0.4634453356266022,0.4324523,False
finch_like,720,2022,0.4633740484714508,0.4242117,False
finch_like,720,2023,0.4629608690738678,0.4344862,False
finch_like,720,2024,0.4637051820755005,0.4271046,False
finch_like,720,2025,0.4635743498802185,0.4372309,False
finch_like,720,2026,0.4638881981372833,0.4318338,False
finch_like,720,2027,0.4631353616714477,0.4336238,False
finch_like,720,2028,0.4630703628063202,0.4293979,False
finch_like,720,2029,0.4632700085639953,0.4288117,False
finch_like,720,2030,0.4629750251770019,0.4224562,False
finch_like,720,2031,0.4638619124889374,0.4358405,False
finch_like,720,2032,0.463316410779953,0.4204575,False
finch_like,720,2033,0.4630114138126373,0.422845,False
finch_like,720,2034,0.4634402096271515,0.4263255,False
finch_like,720,2035,0.4637408256530761,0.4432487,False
finch_like,720,2036,0.4632620513439178,0.4393986,False
finch_like,720,2037,0.4637123048305511,0.435678,False
finch_like,720,2038,0.4643862247467041,0.4406052,False
finch_like,720,2039,0.4637553095817566,0.4282037,False
finch_like,720,2040,0.4631608128547668,0.4257014,False
finch_like,720,2041,0.4639361202716827,0.4420231,False
finch_like,720,2042,0.4641294479370117,0.4433478,False
finch_like,720,2043,0.4643549919128418,0.4408141,False
finch_like,720,2044,0.4635647535324096,0.4174487,False
finch_like,720,2045,0.4630904793739319,0.4222973,False
finch_like,720,2046,0.4638488888740539,0.4193947,False
finch_like,720,2047,0.4642024934291839,0.4400466,False
finch_like,720,2048,0.4634792506694793,0.4188538,False
finch_like,720,2049,0.4635016024112701,0.4283631,False
finch_like,720,2050,0.4636590182781219,0.4359058,False
finch_like,96,2021,0.3953768312931061,0.4203772,False
finch_like,96,2022,0.3947632908821106,0.4131579,False
finch_like,96,2023,0.3959714770317077,0.4032978,False
finch_like,96,2024,0.3952813744544983,0.4259662,False
finch_like,96,2025,0.3957282304763794,0.4107627,False
finch_like,96,2026,0.395959734916687,0.413719,False
finch_like,96,2027,0.3958757519721985,0.4215044,False
finch_like,96,2028,0.3959453105926513,0.4129623,False
finch_like,96,2029,0.3964549899101257,0.4256759,False
finch_like,96,2030,0.3955396115779876,0.4192178,False
finch_like,96,2031,0.3957005441188812,0.4252338,False
finch_like,96,2032,0.3958197236061096,0.4176487,False
finch_like,96,2033,0.3964680731296539,0.4491879,False
finch_like,96,2034,0.3960891962051391,0.4253541,False
finch_like,96,2035,0.395646333694458,0.4095474,False
finch_like,96,2036,0.3962365090847015,0.4235134,False
finch_like,96,2037,0.3953312933444977,0.4312774,False
finch_like,96,2038,0.3966189622879028,0.4208361,False
finch_like,96,2039,0.3953362703323364,0.4088258,False
finch_like,96,2040,0.3954080641269684,0.4159346,False
finch_like,96,2041,0.3949414491653442,0.4034648,False
finch_like,96,2042,0.3954297006130218,0.4221615,False
finch_like,96,2043,0.3969559073448181,0.4429637,False
finch_like,96,2044,0.3960902988910675,0.4193973,False
finch_like,96,2045,0.3951518535614013,0.4242377,False
finch_like,96,2046,0.3949474990367889,0.423067,False
finch_like,96,2047,0.3957916498184204,0.4261073,False
finch_like,96,2048,0.3956144452095032,0.4064078,False
finch_like,96,2049,0.3959023654460907,0.4266721,False
