model,variant,dataset,N,pred_len,FLOPs_G,Params_M,train_vram_GB,infer_vram_GB,train_ms_batch,infer_ms_batch
VG_iFlashformer_SF,,sdwpf,2144,720,11.9713,5.1851,1.5488,0.5081,60.0481,11.4924
VG_iFlashformer_SF,,ashrae,2362,96,12.4597,4.8650,1.3378,0.4081,41.0520,11.1092
VG_iFlashformer_SF,,ashrae,2362,192,12.5760,4.9142,1.3670,0.4294,44.7107,11.2469
VG_iFlashformer_SF,,ashrae,2362,336,12.7505,4.9881,1.4496,0.4603,49.2999,11.4188
VG_iFlashformer_SF,,ashrae,2362,720,13.2156,5.1851,1.6683,0.5448,79.2961,11.8256
VG_iFlashformer_SF,,bdg2,2817,96,15.0166,4.8650,1.5869,0.4771,48.2069,13.3386
VG_iFlashformer_SF,,bdg2,2817,192,15.1552,4.9142,1.6182,0.5016,52.1202,13.4969
VG_iFlashformer_SF,,bdg2,2817,336,15.3632,4.9881,1.7180,0.5405,68.1555,13.6865
VG_iFlashformer_SF,,bdg2,2817,720,15.9178,5.1851,1.9764,0.6370,93.3614,14.1489
VG_iTransformer_SF,,traffic,862,96,5.9983,6.4533,1.4122,0.3508,47.4206,12.5176
VG_iTransformer_SF,,traffic,862,192,6.0409,6.5026,1.4356,0.3660,49.7917,12.5949
VG_iTransformer_SF,,traffic,862,336,6.1047,6.5765,1.4945,0.3887,52.8866,12.6785
VG_iTransformer_SF,,traffic,862,720,6.2750,6.7735,1.6530,0.4497,79.6596,12.9219
VG_iTransformer_SF,,electricity,321,96,1.6811,4.8650,0.4536,0.1623,33.3842,6.3000
VG_iTransformer_SF,,electricity,321,192,1.6971,4.9142,0.4629,0.1687,34.3455,6.5225
VG_iTransformer_SF,,electricity,321,336,1.7211,4.9881,0.4852,0.1769,34.9724,6.6068
VG_iTransformer_SF,,electricity,321,720,1.7850,5.1851,0.5515,0.2030,39.5566,6.8842
VG_iTransformer_SF,,solar_AL,137,96,0.4711,3.2766,0.2825,0.1324,26.4406,4.1059
VG_iTransformer_SF,,solar_AL,137,192,0.4778,3.3259,0.2899,0.1362,26.1387,4.5683
VG_iTransformer_SF,,solar_AL,137,336,0.4879,3.3998,0.3082,0.1447,26.8899,4.4281
VG_iTransformer_SF,,solar_AL,137,720,0.5148,3.5968,0.3634,0.1636,29.0435,4.7232
VG_iTransformer_SF,,kamp,228,96,1.1917,4.8650,0.3539,0.1360,23.3831,5.6270
VG_iTransformer_SF,,kamp,228,192,1.2031,4.9142,0.3607,0.1409,20.8668,5.7114
