model,variant,dataset,N,pred_len,seed,MSE,MAE,provenance_id
anti_clustering,,sdwpf,2144,96,2022,1.248710036277771,0.5525684356689453,gind_anti_clustering_sdwpf_pl96_s2022
anti_clustering,,sdwpf,2144,96,2023,1.259975790977478,0.5601862072944641,gind_anti_clustering_sdwpf_pl96_s2023
anti_clustering,,sdwpf,2144,96,2024,1.2151861190795898,0.5490305423736572,gind_anti_clustering_sdwpf_pl96_s2024
anti_clustering,,sdwpf,2144,96,2025,1.2345643043518066,0.5525984168052673,gind_anti_clustering_sdwpf_pl96_s2025
anti_clustering,,sdwpf,2144,192,2021,1.6021754741668701,0.641581118106842,gind_anti_clustering_sdwpf_pl192_s2021
anti_clustering,,sdwpf,2144,192,2022,1.5559487342834473,0.6291091442108154,gind_anti_clustering_sdwpf_pl192_s2022
anti_clustering,,sdwpf,2144,192,2023,1.5438055992126465,0.6283842921257019,gind_anti_clustering_sdwpf_pl192_s2023
anti_clustering,,sdwpf,2144,192,2024,1.5684654712677002,0.622001588344574,gind_anti_clustering_sdwpf_pl192_s2024
anti_clustering,,sdwpf,2144,192,2025,1.5542867183685303,0.6317520141601562,gind_anti_clustering_sdwpf_pl192_s2025
anti_clustering,,sdwpf,2144,336,2021,1.9153734658000912,0.7097470316018772,gind_anti_clustering_sdwpf_pl336_s2021
anti_clustering,,sdwpf,2144,336,2022,1.8032630489300332,0.678624990808185,gind_anti_clustering_sdwpf_pl336_s2022
anti_clustering,,sdwpf,2144,336,2023,1.8170974886365303,0.6768003586338132,gind_anti_clustering_sdwpf_pl336_s2023
anti_clustering,,sdwpf,2144,336,2024,1.8199923234661972,0.6881277069791722,gind_anti_clustering_sdwpf_pl336_s2024
anti_clustering,,sdwpf,2144,336,2025,1.8196158304873713,0.6849074382137721,gind_anti_clustering_sdwpf_pl336_s2025
anti_clustering,,sdwpf,2144,720,2021,2.0476404478141035,0.7478263130850634,gind_anti_clustering_sdwpf_pl720_s2021
anti_clustering,,sdwpf,2144,720,2022,2.0857405015832775,0.7588402073279096,gind_anti_clustering_sdwpf_pl720_s2022
anti_clustering,,sdwpf,2144,720,2023,2.0337165468593685,0.7432460846633525,gind_anti_clustering_sdwpf_pl720_s2023
