model,variant,dataset,N,pred_len,seed,MSE,MAE,provenance_id
Gateformer,,solar_AL,137,96,2023,0.18777969479560852,0.22878718376159668,gate_solar_AL_pl96_s2023
Gateformer,,solar_AL,137,96,2024,0.19680531322956085,0.23475544154644012,gate_solar_AL_pl96_s2024
Gateformer,,solar_AL,137,96,2025,0.18790839612483978,0.22223077714443207,gate_solar_AL_pl96_s2025
Gateformer,,solar_AL,137,192,2021,0.23051348328590393,0.2585248053073883,gate_solar_AL_pl192_s2021
Gateformer,,solar_AL,137,192,2022,0.227736234664917,0.25649377703666687,gate_solar_AL_pl192_s2022
Gateformer,,solar_AL,137,192,2023,0.2352609634399414,0.2628411054611206,gate_solar_AL_pl192_s2023
Gateformer,,solar_AL,137,192,2024,0.23169466853141785,0.26067283749580383,gate_solar_AL_pl192_s2024
Gateformer,,solar_AL,137,192,2025,0.2285088449716568,0.26194751262664795,gate_solar_AL_pl192_s2025
Gateformer,,solar_AL,137,336,2021,0.2409476637840271,0.27140042185783386,gate_solar_AL_pl336_s2021
Gateformer,,solar_AL,137,336,2022,0.24074135720729828,0.27415215969085693,gate_solar_AL_pl336_s2022
Gateformer,,solar_AL,137,336,2023,0.24365198612213135,0.273371160030365,gate_solar_AL_pl336_s2023
Gateformer,,solar_AL,137,336,2024,0.23790238797664642,0.2736983895301819,gate_solar_AL_pl336_s2024
Gateformer,,solar_AL,137,336,2025,0.2383929193019867,0.2732544243335724,gate_solar_AL_pl336_s2025
Gateformer,,solar_AL,137,720,2021,0.24539901316165924,0.2792222797870636,gate_solar_AL_pl720_s2021
Gateformer,,solar_AL,137,720,2022,0.2448544204235077,0.2796090543270111,gate_solar_AL_pl720_s2022
Gateformer,,solar_AL,137,720,2023,0.24592289328575134,0.27988460659980774,gate_solar_AL_pl720_s2023
Gateformer,,solar_AL,137,720,2024,0.24833713471889496,0.28308337926864624,gate_solar_AL_pl720_s2024
Gateformer,,solar_AL,137,720,2025,0.24561402201652527,0.27957451343536377,gate_solar_AL_pl720_s2025
Gateformer,,traffic,862,96,2021,0.38850778341293335,0.2617361843585968,gate_traffic_pl96_s2021
Gateformer,,traffic,862,96,2022,0.3893797695636749,0.262204647064209,gate_traffic_pl96_s2022
Gateformer,,traffic,862,96,2023,0.38828906416893005,0.2616423964500427,gate_traffic_pl96_s2023
